"country","date","agricultural_land%","forest_land%","land_area","avg_precipitation","trade_in_services%","control_of_corruption_estimate","control_of_corruption_std","access_to_electricity%","renewvable_energy_consumption%","electric_power_consumption","CO2_emisions","other_greenhouse_emisions","population_density","inflation_annual%","real_interest_rate","risk_premium_on_lending","research_and_development_expenditure%","central_goverment_debt%","tax_revenue%","expense%","goverment_effectiveness_estimate","goverment_effectiveness_std","human_capital_index","doing_business","time_to_get_operation_license","statistical_performance_indicators","individuals_using_internet%","logistic_performance_index","military_expenditure%","GDP_current_US","political_stability_estimate","political_stability_std","rule_of_law_estimate","rule_of_law_std","regulatory_quality_estimate","regulatory_quality_std","government_expenditure_on_education%","government_health_expenditure%","multidimensional_poverty_headcount_ratio%","gini_index","birth_rate","death_rate","life_expectancy_at_birth","population","rural_population","voice_and_accountability_estimate","voice_and_accountability_std","intentional_homicides","year"
"Afghanistan","2021-01-01",NA,NA,NA,NA,NA,-1.14237689971924,0.183094143867493,97.7,17.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.63436961174011,0.298432290554047,NA,NA,NA,NA,NA,NA,NA,14583135236.5744,-2.52985525131226,0.247811526060104,-1.87143611907959,0.175540506839752,-1.33802223205566,0.232079371809959,NA,0.55571794,NA,NA,35.842,7.344,61.982,40099462,29547690,-1.57088327407837,0.134846642613411,4.02249785795131,2021
"Albania","2021-01-01",NA,NA,NA,NA,34.0939821694784,-0.5559241771698,0.16259640455246,100,NA,NA,NA,NA,NA,2.04147163139546,2.48151251479627,4.97333333333334,NA,82.3836112949451,18.1985894411308,24.5363331196553,-0.00336363865062594,0.25916513800621,NA,NA,NA,NA,79.32,NA,1.4156359265316,17930565118.8176,0.109445847570896,0.239415779709816,-0.256100863218308,0.151342049241066,0.1927540153265,0.220563754439354,NA,NA,NA,NA,10.24,11.325,76.463,2811666,1041188,0.091204971075058,0.12743978202343,2.31196864129807,2021
"Algeria","2021-01-01",NA,NA,NA,NA,6.21595921258458,-0.614184439182281,0.17921145260334,99.7878265380859,NA,NA,NA,NA,NA,7.22606307415476,-6.54790341735278,5,NA,NA,NA,NA,-0.620759844779968,0.24601648747921,NA,NA,NA,NA,70.77,NA,5.59258407076549,163472233245.77,-0.876465022563934,0.239415779709816,-0.816039979457855,0.168715447187424,-1.17087244987488,0.223777398467064,NA,NA,NA,NA,21.524,4.546,76.377,44177969,11370967,-1.00951933860779,0.121598109602928,1.57318234314011,2021
"American Samoa","2021-01-01",NA,NA,NA,NA,NA,1.32561695575714,0.430105984210968,NA,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.697109878063202,0.482685506343842,NA,NA,NA,NA,NA,NA,NA,7.09e+08,1.0492981672287,0.328609555959702,1.2052298784256,0.499331921339035,0.54862916469574,0.490734934806824,NA,NA,NA,NA,NA,NA,NA,45035,5778,0.908089399337769,0.72723913192749,NA,2021
"Andorra","2021-01-01",NA,NA,NA,NA,86.5265691691587,1.32561695575714,0.430105984210968,100,20.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.81625008583069,0.482685506343842,NA,NA,NA,NA,93.89752157,NA,NA,3325145406.77109,1.63180875778198,0.28867644071579,1.71510624885559,0.499331921339035,1.36252450942993,0.490734934806824,2.88000011444092,NA,NA,NA,NA,NA,NA,79034,9596,1.04344940185547,0.24594022333622,NA,2021
"Angola","2021-01-01",NA,NA,NA,NA,10.8758879900646,-0.655345797538757,0.163929745554924,48.2238540649414,NA,NA,NA,NA,NA,25.7542656453085,-13.9926687818887,0.038043518597199,NA,NA,NA,NA,-1.05936896800995,0.230236172676086,NA,NA,NA,NA,32.60230173,NA,1.13205982131155,65685435100.4986,-0.710836231708527,0.215016067028046,-0.952415645122528,0.162034839391708,-0.66263210773468,0.204213261604309,NA,NA,NA,NA,38.809,8.009,61.643,34503774,11227528,-0.840915977954865,0.12051834911108,NA,2021
"Antigua and Barbuda","2021-01-01",NA,NA,NA,NA,67.0641641616579,0.263726949691772,0.274181663990021,100,0.72,NA,NA,NA,NA,2.06299638545331,3.85981599878969,NA,NA,NA,NA,NA,-0.142245307564735,0.482685506343842,NA,NA,NA,NA,95.66338947,NA,NA,1560518518.51852,0.955552101135254,0.280120998620987,0.342992603778839,0.328445255756378,0.390355736017227,0.36282753944397,3.8362500667572,NA,NA,NA,12.115,6.365,78.497,93219,70492,0.739251315593719,0.226818829774857,17.1637908377539,2021
"Argentina","2021-01-01",NA,NA,NA,NA,4.61786301100252,-0.400777548551559,0.160518944263458,100,NA,NA,NA,NA,NA,NA,-12.0621392648759,NA,NA,NA,11.4844172195763,22.8656312880663,-0.356661766767502,0.232063472270966,NA,NA,NA,NA,87.15070683,NA,0.565318000558816,487227125385.641,-0.106366641819477,0.233612805604935,-0.462304174900055,0.158114194869995,-0.618144750595093,0.206931561231613,NA,NA,NA,42,13.902,8.955,75.39,45808747,3559798,0.619619727134705,0.130151733756065,4.62267855620475,2021
"Armenia","2021-01-01",NA,NA,NA,NA,22.1737276380687,0.0721498727798462,0.18279242515564,100,NA,NA,NA,NA,NA,7.18483629443373,4.58062816452319,3.96306581230225,NA,60.1562052844328,22.0287788363463,25.0000498047956,-0.249556034803391,0.25916513800621,NA,NA,NA,NA,78.61225758,NA,4.44012109130006,13861409968.835,-0.835592269897461,0.24469156563282,-0.0959042459726334,0.160630792379379,0.145152628421783,0.241741433739662,2.77138996124268,NA,NA,27.9,12.049,13.007,72.043,2790974,1020631,0.0592041611671448,0.133087486028671,2.18561731238222,2021
"Aruba","2021-01-01",NA,NA,NA,NA,94.8322576995581,0.834079265594482,0.309728771448135,100,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.13221418857574,0.362656056880951,NA,NA,NA,NA,NA,NA,NA,3126019385.47486,1.47433543205261,0.27579003572464,1.27957165241241,0.205313012003899,0.946877241134644,0.379104226827621,NA,NA,NA,NA,7.193,11.235,74.626,106537,59803,1.02860355377197,0.251590937376022,NA,2021
