"country","date","agricultural_land%","forest_land%","land_area","avg_precipitation","trade_in_services%","control_of_corruption_estimate","control_of_corruption_std","access_to_electricity%","renewvable_energy_consumption%","electric_power_consumption","CO2_emisions","other_greenhouse_emisions","population_density","inflation_annual%","real_interest_rate","risk_premium_on_lending","research_and_development_expenditure%","central_goverment_debt%","tax_revenue%","expense%","goverment_effectiveness_estimate","goverment_effectiveness_std","human_capital_index","doing_business","time_to_get_operation_license","statistical_performance_indicators","individuals_using_internet%","logistic_performance_index","military_expenditure%","GDP_current_US","political_stability_estimate","political_stability_std","rule_of_law_estimate","rule_of_law_std","regulatory_quality_estimate","regulatory_quality_std","government_expenditure_on_education%","government_health_expenditure%","multidimensional_poverty_headcount_ratio%","gini_index","birth_rate","death_rate","life_expectancy_at_birth","population","rural_population","voice_and_accountability_estimate","voice_and_accountability_std","intentional_homicides","year"
"Brunei","1960-01-01","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.017,11.655,56.793,85346,48305,0,0,0,1960
"Brunei","1961-01-01","3.98481973434535",0,5270,2722,0,0,0,0,0,0,0,0,16.9944971537002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.231,10.73,57.817,89561,49054,0,0,0,1961
"Brunei","1962-01-01","3.98481973434535",0,5270,2722,0,0,0,0,0,0,0,0,17.8058823529412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.991,10.449,57.667,93837,49668,0,0,0,1962
"Brunei","1963-01-01","3.98481973434535",0,5270,2722,0,0,0,0,0,0,0,0,18.6483870967742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.673,9.268,59.779,98277,50200,0,0,0,1963
"Brunei","1964-01-01","4.55407969639469",0,5270,2722,0,0,0,0,0,0,0,0,19.526375711575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.373,8.7,60.582,102904,50653,0,0,0,1964
"Brunei","1965-01-01","4.55407969639469",0,5270,2722,0,0,0,0,0,0,0,0,20.4337760910816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114039500.514481,0,0,0,0,0,0,0,0,0,0,38.178,8.278,61.193,107686,51016,0,0,0,1965
"Brunei","1966-01-01","4.36432637571157",0,5270,2722,0,0,0,0,0,0,0,0,21.3656546489564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132757527.954984,0,0,0,0,0,0,0,0,0,0,37.214,7.827,61.963,112597,51267,0,0,0,1966
"Brunei","1967-01-01","4.36432637571157",0,5270,2722,0,0,0,0,0,0,0,0,22.3203036053131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139029537.149708,0,0,0,0,0,0,0,0,0,0,36.513,7.517,62.511,117628,51403,0,0,0,1967
"Brunei","1968-01-01","4.55407969639469",0,5270,2722,0,0,0,0,0,0,0,0,23.2948766603416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160818235.758462,0,0,0,0,0,0,0,0,0,0,36.123,7.257,63.005,122764,51416,0,0,0,1968
"Brunei","1969-01-01","4.55407969639469",0,5270,2722,0,0,0,0,0,0,0,0,24.2907020872865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161210236.333132,0,0,0,0,0,0,0,0,0,0,35.997,7.001,63.553,128012,51323,0,0,0,1969
"Brunei","1970-01-01","4.55407969639469",0,5270,2722,0,0,0,0,0,0,0,0,25.3022770398482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179078929.195183,0,0,0,0,0,0,6.23915004730225,0,0,0,36.03,6.75,64.11,133343,51104,0,0,0,1970
"Brunei","1971-01-01","3.60531309297913",0,5270,2722,0,0,0,0,0,1716.35440555003,0,0,26.3123339658444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197525739.976803,0,0,0,0,0,0,4.99501991271973,0,0,0,36.118,6.487,64.699,138666,50735,0,0,0,1971
"Brunei","1972-01-01","3.41555977229602",0,5270,2722,0,0,0,0,0,1654.08726352807,0,0,27.3028462998102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270822794.672458,0,0,0,0,0,0,4.03928995132446,0,0,0,35.909,6.18,65.35,143886,52179,0,0,0,1972
"Brunei","1973-01-01","3.41555977229602",0,5270,2722,0,0,0,0,0,1576.4934760004,0,0,28.2855787476281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433095587.469864,0,0,0,0,0,0,8.79329013824463,0,0,0,35.472,5.868,65.963,149065,53829,0,0,0,1973
"Brunei","1974-01-01","3.41555977229602",0,5270,2722,0,0,0,0,0,1548.79012921705,0,0,29.2815939278937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1073591771.22042,0,0,0,0,0,0,3.39270997047424,0,0,0,34.99,5.595,66.528,154314,55490,0,0,0,1974
"Brunei","1975-01-01","3.41555977229602",0,5270,2722,0,0,0,0,0,1496.99661140098,0,0,30.2946869070209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1168304306.10676,0,0,0,0,0,0,1.96133995056152,0,0,0,34.427,5.339,67.107,159653,57167,0,0,0,1975
"Brunei","1976-01-01","3.2258064516129",0,5270,2722,0,0,0,0,0,1447.92322977754,0,0,31.3214421252372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1423037359.4965,0,0,0,0,0,0,1.97008001804352,0,0,0,33.807,5.13,67.608,165064,58854,0,0,0,1976
"Brunei","1977-01-01","2.84629981024668",0,5270,2722,0,0,0,0,0,1401.26641651032,0,0,32.3643263757116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1732721161.47394,0,0,0,0,0,0,0,0,0,0,33.183,4.952,68.075,170560,60556,0,0,0,1977
"Brunei","1978-01-01","2.84629981024668",0,5270,2722,0,0,0,0,0,1356.59794750704,0,0,33.4299810246679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1941579358.89798,0,0,0,0,0,0,2.11423993110657,0,0,0,32.635,4.809,68.487,176176,62284,0,0,0,1978
"Brunei","1979-01-01","2.84629981024668",0,5270,2722,0,0,0,0,0,1313.54045869492,0,0,34.5258064516129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2803833729.76268,0,0,0,0,0,0,1.54551994800568,0,0,0,32.106,4.687,68.862,181951,64050,0,0,0,1979
"Brunei","1980-01-01","2.65654648956357",0,5270,2722,0,0,0,0,0,1745.41429643308,0,0,35.6586337760911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4928805777.2815,0,0,0,0,0,0,1.1910799741745,0,0,0,31.629,4.573,69.246,187921,65868,0,0,0,1980
"Brunei","1981-01-01","2.65654648956357",0,5270,2722,0,0,0,0,0,2333.8605556958,0,0,36.8309297912713,9.13705583756339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4366231073.11486,0,0,0,0,0,0,1.61678004264832,0,0,0,31.191,4.492,69.54,194099,67742,0,0,0,1981
"Brunei","1982-01-01","2.46679316888046",0,5270,2722,0,0,0,0,0,2706.47460499427,0,0,38.0702087286528,6.35658914728686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4264202522.65907,0,0,0,0,0,0,1.69714999198914,0,0,0,30.831,4.405,69.841,200630,69721,0,0,0,1982
"Brunei","1983-01-01","2.46679316888046",0,5270,2722,0,0,0,0,0,3146.63916770671,0,0,39.3781783681214,1.1661807580175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3844632168.59262,0,0,0,0,0,0,0,0,0,0,30.505,4.319,70.09,207523,71805,0,0,0,1983
"Brunei","1984-01-01","2.27703984819734",0,5270,2722,0,0,0,0,0,3344.48160535117,0,0,40.7366223908918,3.07396733909727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.57408440230526,3782552643.47893,0,0,0,0,0,0,0,0,0,0,30.327,4.235,70.358,214682,73962,0,0,0,1984
"Brunei","1985-01-01","2.27703984819734",0,5270,2722,0,0,0,0,0,3300.03286526592,0,0,42.1478178368121,2.35321528424929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88778814029385,3523532486.95521,0,0,0,0,0,0,0,0,0,0,30.223,4.168,70.582,222119,76193,0,0,0,1985
"Brunei","1986-01-01","2.27703984819734",0,5270,2722,0,0,0,0,0,3233.03526749777,0,0,43.6081593927894,1.78124288641065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.67072980761742,2358574763.85308,0,0,0,0,0,0,0,0,0,0,29.926,4.089,70.847,229815,78491,0,0,0,1986
"Brunei","1987-01-01","2.27703984819734",0,5270,2722,0,0,0,0,0,4189.94413407821,0,0,45.1066413662239,1.24685490634577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.79251495457601,2754485236.50868,0,0,0,0,0,0,4.73773002624512,0,0,0,29.567,4.041,71.019,237712,80836,0,0,0,1987
"Brunei","1988-01-01","2.27703984819734",0,5270,2722,0,0,0,0,0,4260.79135958719,0,0,46.6278937381404,1.19284294234599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.62997709980055,2690684124.87422,0,0,0,0,0,0,5.40902996063232,0,0,0,29.266,3.981,71.236,245729,83196,0,0,0,1988
"Brunei","1989-01-01","2.27703984819734",0,5270,2722,0,0,0,0,0,4258.90686743808,0,0,48.1633776091082,1.30430037109821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.21043627031651,2985531762.88612,0,0,0,0,0,0,4.69012022018433,0,0,0,28.859,3.926,71.445,253821,85563,0,0,0,1989
"Brunei","1990-01-01","2.08728652751423",78.3681214421252,5270,2722,0,0,0,100,0.67,4272.16639687242,3260.3,4729.264158,49.7017077798861,2.13866293163794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.43773526926327,3520486979.54981,0,0,0,0,0,0,3.95995998382568,0,0,0,28.466,3.87,71.656,261928,87908,0,0,0,1990
