"country","date","agricultural_land%","forest_land%","land_area","avg_precipitation","trade_in_services%","control_of_corruption_estimate","control_of_corruption_std","access_to_electricity%","renewvable_energy_consumption%","electric_power_consumption","CO2_emisions","other_greenhouse_emisions","population_density","inflation_annual%","real_interest_rate","risk_premium_on_lending","research_and_development_expenditure%","central_goverment_debt%","tax_revenue%","expense%","goverment_effectiveness_estimate","goverment_effectiveness_std","human_capital_index","doing_business","time_to_get_operation_license","statistical_performance_indicators","individuals_using_internet%","logistic_performance_index","military_expenditure%","GDP_current_US","political_stability_estimate","political_stability_std","rule_of_law_estimate","rule_of_law_std","regulatory_quality_estimate","regulatory_quality_std","government_expenditure_on_education%","government_health_expenditure%","multidimensional_poverty_headcount_ratio%","gini_index","birth_rate","death_rate","life_expectancy_at_birth","population","rural_population","voice_and_accountability_estimate","voice_and_accountability_std","intentional_homicides","year"
"Cambodia","2020-01-01",32.7951506911398,45.7079651031045,176520,1904,14.6567255089839,-1.25004839897156,0.144364014267921,86.4,51.41,0,18652.8,42363.17878,92.8895309313392,2.94029514263973,0,0,0,0,17.8851727760437,17.4106269435802,-0.392002016305923,0.254445165395737,0.491589874029159,0,0,0,53.65076745,0,2.44546663012782,25872797892.0285,-0.233859464526176,0.245315119624138,-0.944914877414703,0.155781373381615,-0.618000268936157,0.211626052856445,3.12630653381348,2.07794261,0,0,19.849,6.228,70.416,16396860,12423573,-1.35706651210785,0.132274478673935,0,2020
"Indonesia","2020-01-01",33.1820876379946,49.0717803654717,1877519,2702,3.7568831450576,-0.432469308376312,0.137111276388168,96.95,22.01,0,563197,976487.6772,144.796388212316,1.92096800566845,9.98592671987597,0,0.280840009450912,42.9017966486126,8.31010524192246,16.5400276038392,0.350167453289032,0.233800768852234,0.540038466453552,0,0,0,53.72649449,0,0.859788806116358,1059054842711.72,-0.448744028806686,0.229722216725349,-0.327540189027786,0.154110208153725,0.22881618142128,0.202366635203362,3.49000000953674,1.87949932,0,37.6,16.649,8.964,68.808,271857970,117874897,0.101115196943283,0.127855613827705,0,2020
"Laos","2020-01-01",8.79116117850953,71.9042461005199,230800,1834,4.17068821972207,-1.06609654426575,0.173127338290215,99.3113632202148,49.91,0,19178.9,30491.44478,31.7131672443674,5.10407262959903,0,0,0,0,0,0,-0.745370984077454,0.261451244354248,0.456665337085724,0,0,0,54,0,0,18981800705.0794,0.678927659988403,0.251161903142929,-0.857892215251923,0.166377395391464,-0.815941095352173,0.230633303523064,2.29976010322571,1.15479565,0,0,22.449,6.366,68.497,7319399,4663189,-1.7939019203186,0.140262171626091,0,2020
"Malaysia","2020-01-01",26.0873535230558,58.1769593669152,328550,2875,16.4628711969584,0.25365361571312,0.144106417894363,100,5.84,0,245139.3,302088.6631,101.05004717699,-1.13870215393056,4.75171161954282,0,0,62.0281731616858,10.888436832485,18.4779755168191,1.05908203125,0.244632557034492,0.610976159572601,0,0,0,89.55501192,0,1.00703187159361,337339463179.961,0.113924153149128,0.214171290397644,0.594114601612091,0.15493643283844,0.678403079509735,0.208471909165382,3.91697001457214,2.17579722,0,0,15.417,5.311,75.938,33199993,7582878,-0.149830982089043,0.127669498324394,0.76204835344393,2020
"Myanmar","2020-01-01",19.9304395789603,43.7340309804342,652670,2091,0,-0.659091353416443,0.146304562687874,70.4157409667969,59.75,0,33874.6,128949.3985,81.8533071843351,0,10.5822694253578,0,0.14724999666214,0,0,0,-1.01675057411194,0.257395893335342,0.477652013301849,0,0,0,41.95429049,0,2.95459077983316,78930259068.5275,-1.51233565807343,0.236120238900185,-1.17445850372314,0.157127067446709,-0.618340134620667,0.203855723142624,0,0.73733534,0,0,17.363,8.819,66.797,53423198,36786680,-0.939094603061676,0.127924367785454,2.94067008118833,2020
"Philippines","2020-01-01",42.509306771305,24.1090317604051,298170,2348,13.7602969429282,-0.488711297512054,0.137111276388168,96.3902893066406,29.06,0,133471.3,224971.7625,376.265140691552,2.39316239316241,0,0,0,0,13.9509857073772,19.5603029244639,0.0994934812188149,0.233800768852234,0.51596212387085,0,0,0,47.11190815,0,1.01242392260698,361751145432.404,-0.753126084804535,0.229722216725349,-0.62583863735199,0.154110208153725,0.12772573530674,0.202366635203362,3.73481059074402,2.28181028,0,0,22.039,5.566,72.119,112190977,59003479,-0.104530483484268,0.127855613827705,0,2020
"Singapore","2020-01-01",0.919220055710306,21.6852367688022,718,2497,122.244842426905,2.149747133255,0.144628450274467,100,0.92,0,43705,64266.74268,7918.95125348189,-0.181916666666656,8.16666529058612,0,0,152.043261334961,12.7716072721768,25.8028118573581,2.3248598575592,0.238864824175835,0.879125714302063,0,0,0,92.00434653,0,2.94288472941144,348392174863.651,1.46085929870605,0.229722216725349,1.87023723125458,0.154401049017906,2.21286725997925,0.208471909165382,2.50665998458862,3.17285585,0,0,8.5,5.2,84.4658536585366,5685807,0,-0.203809812664986,0.130079358816147,0.169208474061906,2020
"Thailand","2020-01-01",45.0390495018497,38.8987844741529,510890,1622,15.2786893475595,-0.461679399013519,0.143265783786774,100,20.83,0,265478.9,433773.458,139.90421421441,-0.845937147357037,4.63384766445654,2.68916666666667,0,50.3232474175262,14.4578741077285,22.0864512877152,0.233210638165474,0.238864824175835,0.609310984611511,0,0,0,77.84374066,0,1.4595203007321,500457261548.076,-0.575292408466339,0.229722216725349,0.124885402619839,0.154401049017906,0.0766168087720871,0.208471909165382,3.14571094512939,3.06738973,0,35,9.182,7.264,79.274,71475664,34715730,-0.810198783874512,0.128869324922562,0,2020
"Timor-Leste","2020-01-01",22.9589778076664,61.9435104236718,14870,1500,16.4379910018691,-0.318606942892075,0.194514393806458,96.0023727416992,11.42,0,446.1,5537.128706,87.4240080699395,0,41.4944268894282,0,0,0,12.6674694732307,52.2882675159541,-0.764207601547241,0.295473903417587,0.454314529895783,0,0,0,34.12927356,0,1.16219772323079,2158392500,0.17921544611454,0.251161903142929,-1.16860747337341,0.172295302152634,-0.765879154205322,0.244487002491951,4.15306186676025,5.44570112,0,0,25.258,6.831,68.475,1299995,892837,0.3735211789608,0.140046820044518,0,2020
"Vietnam","2020-01-01",39.4347683207361,46.7190017515929,313429,1821,7.3530992136835,-0.351731240749359,0.14196902513504,99.8,19.11,0,355323.1,470578.1002,308.359102061392,3.22093436652514,6.09063414154083,0,0,0,0,0,0.230213508009911,0.250836759805679,0.689964532852173,0,0,0,70.30000012,0,0,346615750166.553,-0.0795725584030151,0.21932752430439,-0.162950411438942,0.160265803337097,-0.223697125911713,0.213555231690407,4.11161661148071,2.11166167,0,36.8,15.4,6.169,75.378,96648685,60560066,-1.37837326526642,0.126750513911247,0,2020
